total_frames,valid_frames,processed_fps,model_path,tracker_yaml,img_size,det_conf,device
393,393,22.93,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolo11n-pose.pt,bytetrack.yaml,640,0.25,cpu
356,356,23.92,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolo11n-pose.pt,bytetrack.yaml,640,0.25,cpu
326,326,24.03,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolo11n-pose.pt,bytetrack.yaml,640,0.25,cpu
352,352,23.89,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolo11n-pose.pt,bytetrack.yaml,640,0.25,cpu
386,386,23.46,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolo11n-pose.pt,bytetrack.yaml,640,0.25,cpu
404,404,23.61,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolo11n-pose.pt,bytetrack.yaml,640,0.25,cpu
348,348,23.64,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolo11n-pose.pt,bytetrack.yaml,640,0.25,cpu
437,399,23.86,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolo11n-pose.pt,bytetrack.yaml,640,0.25,cpu
335,335,23.93,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolo11n-pose.pt,bytetrack.yaml,640,0.25,cpu
341,341,23.93,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolo11n-pose.pt,bytetrack.yaml,640,0.25,cpu
286,286,24.08,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolo11n-pose.pt,bytetrack.yaml,640,0.25,cpu
320,320,23.94,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolo11n-pose.pt,bytetrack.yaml,640,0.25,cpu
881,881,24.05,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolo11n-pose.pt,bytetrack.yaml,640,0.25,cpu
379,379,23.87,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolo11n-pose.pt,bytetrack.yaml,640,0.25,cpu
441,441,23.78,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\checkpoints\yolo11n-pose.pt,bytetrack.yaml,640,0.25,cpu
393,393,7.52,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,bytetrack.yaml,640,0.25,cpu
356,356,7.6,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,bytetrack.yaml,640,0.25,cpu
326,325,7.04,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,bytetrack.yaml,640,0.25,cpu
352,351,7.11,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,bytetrack.yaml,640,0.25,cpu
386,366,7.17,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,bytetrack.yaml,640,0.25,cpu
404,404,7.25,c:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n_safety.pt,bytetrack.yaml,640,0.25,cpu
