total_frames,valid_frames,processed_fps,model_path,tracker_yaml,img_size,det_conf,device
393,393,18.6,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n-pose.pt,bytetrack.yaml,640,0.25,cpu
315,315,19.32,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n-pose.pt,bytetrack.yaml,640,0.25,cpu
396,396,19.5,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n-pose.pt,bytetrack.yaml,640,0.25,cpu
761,503,19.44,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n-pose.pt,bytetrack.yaml,640,0.25,cpu
316,257,17.87,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n-pose.pt,bytetrack.yaml,640,0.25,cpu
393,393,19.38,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n-pose.pt,bytetrack.yaml,640,0.25,cpu
315,315,20.09,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n-pose.pt,bytetrack.yaml,640,0.25,cpu
396,396,19.35,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n-pose.pt,bytetrack.yaml,640,0.25,cpu
761,503,18.84,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n-pose.pt,bytetrack.yaml,640,0.25,cpu
316,257,17.47,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n-pose.pt,bytetrack.yaml,640,0.25,cpu
393,393,13.32,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n-pose.pt,botsort.yaml,640,0.25,cpu
315,315,13.05,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n-pose.pt,botsort.yaml,640,0.25,cpu
396,396,13.17,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n-pose.pt,botsort.yaml,640,0.25,cpu
761,503,12.91,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n-pose.pt,botsort.yaml,640,0.25,cpu
316,257,12.62,C:\Users\k8240\OneDrive\Desktop\Safety_People_Detector\Safety--People-Detector\Model\checkpoints\yolo11n-pose.pt,botsort.yaml,640,0.25,cpu
